nivel,id_ambito_geografico,ubigeo_departamento,nombre_departamento,ubigeo_provincia,nombre_provincia,actasContabilizadas,contabilizadas,totalActas,participacionCiudadana,actasEnviadasJee,enviadasJee,actasPendientesJee,pendientesJee,fechaActualizacion,idUbigeoDepartamento,idUbigeoProvincia,idUbigeoDistrito,idUbigeoDistritoElectoral,totalVotosEmitidos,totalVotosValidos,porcentajeVotosEmitidos,porcentajeVotosValidos,error
provincia,1,080000,Huancavelica,080600,Huaytara,96.429,81,84,53.324,3.571,3,0.0,0,1777042806561,140000,140100,140101,15,11629,8987,100,100,
provincia,1,080000,Huancavelica,080700,Churcampa,91.736,111,121,54.526,8.264,10,0.0,0,1777042806561,140000,140100,140101,15,16955,12916,100,100,
provincia,1,090000,Huánuco,090100,Huánuco,94.522,811,858,70.208,5.478,47,0.0,0,1777042806561,140000,140100,140101,15,173028,141416,100,100,
provincia,1,090000,Huánuco,090200,Ambo,91.954,160,174,64.798,8.046,14,0.0,0,1777042806561,140000,140100,140101,15,31616,24094,100,100,
provincia,1,090000,Huánuco,090300,Dos De Mayo,100.0,120,120,56.996,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,18289,13822,100,100,
provincia,1,090000,Huánuco,090500,Marañón,94.681,89,94,56.815,5.319,5,0.0,0,1777042806561,140000,140100,140101,15,13694,9522,100,100,
provincia,1,090000,Huánuco,090600,Leoncio Prado,94.859,369,389,67.9,5.141,20,0.0,0,1777042806561,140000,140100,140101,15,76225,58868,100,100,
provincia,1,090000,Huánuco,090400,Huamalies,100.0,173,173,59.377,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,28178,20766,100,100,
provincia,1,090000,Huánuco,090700,Pachitea,89.759,149,166,56.508,10.241,17,0.0,0,1777042806561,140000,140100,140101,15,26135,19708,100,100,
provincia,1,090000,Huánuco,090800,Puerto Inca,89.916,107,119,54.749,10.084,12,0.0,0,1777042806561,140000,140100,140101,15,18152,12178,100,100,
provincia,1,090000,Huánuco,091000,Lauricocha,81.818,63,77,39.965,18.182,14,0.0,0,1777042806561,140000,140100,140101,15,8443,6783,100,100,
provincia,1,090000,Huánuco,090900,Huacaybamba,100.0,55,55,49.476,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,6799,4494,100,100,
provincia,1,090000,Huánuco,091100,Yarowilca,86.207,100,116,42.592,13.793,16,0.0,0,1777042806561,140000,140100,140101,15,13243,10529,100,100,
provincia,1,100000,Ica,100100,Ica,94.37,1056,1119,76.868,5.63,63,0.0,0,1777042806561,140000,140100,140101,15,251954,213689,100,100,
provincia,1,100000,Ica,100200,Chincha,91.798,582,634,76.358,8.202,52,0.0,0,1777042806561,140000,140100,140101,15,142064,115280,100,100,
provincia,1,100000,Ica,100400,Pisco,88.263,376,426,72.488,11.737,50,0.0,0,1777042806561,140000,140100,140101,15,90111,72946,100,100,
provincia,1,100000,Ica,100500,Palpa,91.304,42,46,71.651,8.696,4,0.0,0,1777042806561,140000,140100,140101,15,9195,7355,100,100,
provincia,1,110000,Junín,110100,Huancayo,96.411,1531,1588,74.98,3.589,57,0.0,0,1777042806561,140000,140100,140101,15,348769,299555,100,100,
provincia,1,100000,Ica,100300,Nasca,88.073,192,218,68.804,11.927,26,0.0,0,1777042806561,140000,140100,140101,15,43366,35617,100,100,
provincia,1,110000,Junín,110200,Concepción,93.085,175,188,65.632,6.915,13,0.0,0,1777042806561,140000,140100,140101,15,34178,26562,100,100,
provincia,1,110000,Junín,110300,Jauja,97.761,262,268,73.089,2.239,6,0.0,0,1777042806561,140000,140100,140101,15,53819,43515,100,100,
provincia,1,110000,Junín,110400,Junín,100.0,64,64,68.927,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,12728,9860,100,100,
provincia,1,110000,Junín,110500,Tarma,98.473,258,262,74.877,1.527,4,0.0,0,1777042806561,140000,140100,140101,15,56720,43147,100,100,
provincia,1,110000,Junín,110600,Yauli,98.095,103,105,70.166,1.905,2,0.0,0,1777042806561,140000,140100,140101,15,21106,17541,100,100,
provincia,1,110000,Junín,110700,Satipo,91.743,500,545,60.683,8.257,45,0.0,0,1777042806561,140000,140100,140101,15,93957,68416,100,100,
provincia,1,120000,La Libertad,120200,Bolívar,100.0,48,48,47.406,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,6095,4059,100,100,
provincia,1,120000,La Libertad,120300,Sánchez Carrión,100.0,428,428,66.509,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,82009,56186,100,100,
provincia,1,110000,Junín,110900,Chupaca,95.263,181,190,72.753,4.737,9,0.0,0,1777042806561,140000,140100,140101,15,39743,32136,100,100,
provincia,1,120000,La Libertad,120100,Trujillo,97.578,2780,2849,76.564,2.422,69,0.0,0,1777042806561,140000,140100,140101,15,648644,553352,100,100,
provincia,1,110000,Junín,110800,Chanchamayo,95.842,461,481,66.418,4.158,20,0.0,0,1777042806561,140000,140100,140101,15,91582,69446,100,100,
provincia,1,120000,La Libertad,120400,Otuzco,96.578,254,263,65.675,3.422,9,0.0,0,1777042806561,140000,140100,140101,15,48586,33390,100,100,
provincia,1,120000,La Libertad,120800,Ascope,95.93,330,344,75.455,4.07,14,0.0,0,1777042806561,140000,140100,140101,15,75172,58787,100,100,
provincia,1,120000,La Libertad,120500,Pacasmayo,96.575,282,292,74.921,3.425,10,0.0,0,1777042806561,140000,140100,140101,15,64052,49571,100,100,
provincia,1,120000,La Libertad,120700,Santiago De Chuco,100.0,155,155,64.749,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,28092,19653,100,100,
provincia,1,120000,La Libertad,120600,Pataz,87.444,195,223,51.078,12.556,28,0.0,0,1777042806561,140000,140100,140101,15,31687,20625,100,100,
provincia,1,120000,La Libertad,121000,Julcán,90.426,85,94,57.631,9.574,9,0.0,0,1777042806561,140000,140100,140101,15,15252,10494,100,100,
provincia,1,120000,La Libertad,121100,Gran Chimú,100.0,83,83,65.325,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,15465,10631,100,100,
provincia,1,120000,La Libertad,120900,Chepén,95.833,230,240,73.849,4.167,10,0.0,0,1777042806561,140000,140100,140101,15,52283,40859,100,100,
provincia,1,120000,La Libertad,121200,Virú,93.64,265,283,74.81,6.36,18,0.0,0,1777042806561,140000,140100,140101,15,62748,47423,100,100,
provincia,1,130000,Lambayeque,130100,Chiclayo,98.662,2359,2391,77.016,1.338,32,0.0,0,1777042806561,140000,140100,140101,15,543118,454569,100,100,
provincia,1,130000,Lambayeque,130200,Ferreñafe,94.098,287,305,66.858,5.902,18,0.0,0,1777042806561,140000,140100,140101,15,58387,45427,100,100,
provincia,1,140000,Lima,140200,Cajatambo,100.0,24,24,56.708,0.0,0,0.0,0,1777042806561,140000,140100,140101,15,3428,2518,100,100,
provincia,1,140000,Lima,140300,Canta,87.234,41,47,67.665,12.766,6,0.0,0,1777042806561,140000,140100,140101,15,8676,6817,100,100,
provincia,1,140000,Lima,140100,Lima,95.658,25223,26368,76.554,4.342,1145,0.0,0,1777042806561,140000,140100,140101,15,5988461,5324565,100,100,
provincia,1,130000,Lambayeque,130300,Lambayeque,96.756,865,894,77.055,3.244,29,0.0,0,1777042806561,140000,140100,140101,15,199428,154831,100,100,
provincia,1,140000,Lima,140400,Cañete,91.467,611,668,76.193,8.533,57,0.0,0,1777042806561,140000,140100,140101,15,148506,123079,100,100,
provincia,1,140000,Lima,140600,Huarochirí,98.538,337,342,73.482,1.462,5,0.0,0,1777042806561,140000,140100,140101,15,70685,58863,100,100,
provincia,1,140000,Lima,140500,Huaura,95.573,626,655,74.827,4.427,29,0.0,0,1777042806561,140000,140100,140101,15,143893,118965,100,100,
provincia,1,140000,Lima,140800,Huaral,95.893,537,560,76.706,4.107,23,0.0,0,1777042806561,140000,140100,140101,15,124863,101570,100,100,
provincia,1,140000,Lima,140700,Yauyos,98.246,112,114,56.86,1.754,2,0.0,0,1777042806561,140000,140100,140101,15,15698,12531,100,100,
provincia,1,140000,Lima,141000,Oyón,94.118,48,51,66.117,5.882,3,0.0,0,1777042806561,140000,140100,140101,15,8707,6680,100,100,
provincia,1,150000,Loreto,150100,Maynas,84.069,1124,1337,54.138,15.931,213,0.0,0,1777042806561,140000,140100,140101,15,212775,169933,100,100,
provincia,1,150000,Loreto,150200,Alto Amazonas,98.343,356,362,61.434,1.657,6,0.0,0,1777042806561,140000,140100,140101,15,64763,46818,100,100,
provincia,1,150000,Loreto,150300,Loreto,85.859,170,198,44.187,14.141,28,0.0,0,1777042806561,140000,140100,140101,15,25067,18379,100,100,
provincia,1,140000,Lima,140900,Barranca,95.455,399,418,73.755,4.545,19,0.0,0,1777042806561,140000,140100,140101,15,90457,72953,100,100,
provincia,1,150000,Loreto,150400,Requena,82.199,157,191,42.475,17.801,34,0.0,0,1777042806561,140000,140100,140101,15,22944,18165,100,100,
provincia,1,150000,Loreto,150500,Ucayali,85.87,158,184,41.521,14.13,26,0.0,0,1777042806561,140000,140100,140101,15,21264,15011,100,100,
provincia,1,150000,Loreto,150700,Datem Del Marañón,97.487,194,199,43.83,2.513,5,0.0,0,1777042806561,140000,140100,140101,15,22862,16030,100,100,
provincia,1,150000,Loreto,150600,Mariscal Ramón Castilla,81.633,160,196,41.322,18.367,36,0.0,0,1777042806561,140000,140100,140101,15,22962,11960,100,100,
provincia,1,150000,Loreto,150900,Putumayo,90.0,27,30,30.289,10.0,3,0.0,0,1777042806561,140000,140100,140101,15,2361,1817,100,100,
