codigoMesa,sanchez,aliaga
042822,6,25
042908,5,49
042917,0,92
042918,0,96
042920,0,91
042923,2,97
042944,6,29
043001,3,44
043007,3,61
043015,6,71
043058,9,51
043131,7,26
043146,12,32
043150,6,43
043414,1,84
044119,10,49
044405,5,29
044479,13,27
044482,15,54
044488,10,50
044489,14,43
044511,5,25
044515,9,33
044520,17,18
044524,5,31
044537,8,44
044549,7,40
044556,7,25
044557,15,28
044560,1,44
044581,13,26
044602,1,22
044603,1,39
044616,4,42
044620,6,47
044634,5,53
044641,9,36
044653,11,64
044657,15,34
044663,13,43
044670,11,19
044713,9,34
044716,26,31
044734,14,30
044745,3,29
044936,3,71
044951,3,80
044954,1,66
044955,4,69
045210,1,124
045262,2,96
045307,1,79
045312,3,86
045386,1,87
045461,3,138
045518,10,38
045523,9,29
045527,16,23
045528,21,19
045530,16,14
045532,13,27
045533,17,17
045560,6,47
045562,9,33
045567,12,14
045570,20,4
045571,18,15
045575,16,18
045578,13,18
045582,12,28
045584,20,6
045611,9,30
045641,22,20
045671,0,0
045673,18,11
045675,15,15
045714,21,25
045725,15,0
045736,19,11
045756,9,31
046347,12,23
046548,11,30
046798,6,26
046813,10,67
046855,12,18
046865,17,22
046866,16,18
046923,11,25
047094,13,39
047202,200,290
047203,8,46
047204,6,41
047212,5,1
047381,4,41
047494,2,29
047534,3,39
047611,2,61
047635,0,0
047667,2,35
047763,2,85
047822,0,137
048085,0,57
048138,10,1
048188,7,23
048365,13,30
048780,1,35
048887,3,20
048894,3,24
049377,9,36
049822,4,30
049968,2,62
050040,4,70
050059,2,67
050078,1,70
050129,0,78
050229,6,48
050254,0,2
050256,0,91
050314,2,62
050324,1,95
050337,2,55
050443,17,23
050519,0,71
050534,4,91
050554,1,87
050555,0,77
050568,0,180
050569,1,174
050570,1,201
050616,1,77
050620,4,79
050623,2,76
050624,2,67
050633,4,4
050642,1,61
050645,2,67
050649,1,85
050669,0,79
050676,3,68
050677,5,79
050711,3,94
050827,0,148
